ironbow,white_hot,black_hot,rainbow,hog,mellow_yellow
0xfff9ffff,0xffffffff,0xff0f0f0f,0xff00ffe8,0xff0c10fa,0xff88e1e7
0xfff9ffff,0xffffffff,0xff0f0f0f,0xff00ffec,0xff0c10fa,0xff88e1e7
0xfff9ffff,0xffffffff,0xff0f0f0f,0xff00fff0,0xff0c10fa,0xff88e1e7
0xfff9ffff,0xffffffff,0xff0f0f0f,0xff00fff4,0xff0c10fa,0xff88e1e7
0xfff9ffff,0xffffffff,0xff0f0f0f,0xff00fff8,0xff0c10fa,0xff88e1e7
0xfff9ffff,0xffffffff,0xff0f0f0f,0xff00fffc,0xff0c10fa,0xff88e1e7
0xfff9ffff,0xffffffff,0xff0f0f0f,0xff00ffff,0xff0c10fa,0xff88e1e7
0xfff9ffff,0xffffffff,0xff0f0f0f,0xff00fbff,0xff0c10fa,0xff88e1e7
0xfff9ffff,0xffffffff,0xff0f0f0f,0xff00f7ff,0xff0c10fa,0xff88e1e7
0xfff9ffff,0xffffffff,0xff0f0f0f,0xff00f3ff,0xff0c10fa,0xff88e1e7
0xfff9ffff,0xffffffff,0xff0f0f0f,0xff00efff,0xff0c10fa,0xff88e1e7
0xfff9ffff,0xffffffff,0xff0f0f0f,0xff00ebff,0xff0c10fa,0xff88e1e7
0xfff9ffff,0xffffffff,0xff0f0f0f,0xff00e7ff,0xff0c10fa,0xff88e1e7
0xfff9ffff,0xffffffff,0xff0f0f0f,0xff00e3ff,0xff0c10fa,0xff88e1e7
0xfff9ffff,0xffffffff,0xff0f0f0f,0xff00dfff,0xff0c10fa,0xff88e1e7
0xfff9ffff,0xffffffff,0xff0f0f0f,0xff00dbff,0xff0c10fa,0xff88e1e7
0xfff9ffff,0xffffffff,0xff0f0f0f,0xff00d7ff,0xff0c10fa,0xff88e1e7
0xfff9ffff,0xffffffff,0xff0f0f0f,0xff00d3ff,0xff0c10fa,0xff88e1e7
0xfff9ffff,0xffffffff,0xff0f0f0f,0xff00cfff,0xff0c10fa,0xff88e1e7
0xfff9ffff,0xffffffff,0xff0f0f0f,0xff00cbff,0xff0c10fa,0xff88e1e7
0xfff9ffff,0xffffffff,0xff0f0f0f,0xff00c7ff,0xff0c10fa,0xff88e1e7
0xfff9ffff,0xffffffff,0xff0f0f0f,0xff00c3ff,0xff0c10fa,0xff88e1e7
0xfff9ffff,0xffffffff,0xff0f0f0f,0xff00bfff,0xff0c10fa,0xff88e1e7
0xfff9ffff,0xffffffff,0xff0f0f0f,0xff00bbff,0xff0c10fa,0xff88e1e7
0xfff9ffff,0xffffffff,0xff0f0f0f,0xff00b7ff,0xff0c10fa,0xff88e1e7
0xfff9ffff,0xffffffff,0xff0f0f0f,0xff00b3ff,0xff0c10fa,0xff88e1e7
0xfff9ffff,0xffffffff,0xff0f0f0f,0xff00afff,0xff0c10fa,0xff88e1e7
0xfff9ffff,0xffffffff,0xff0f0f0f,0xff00abff,0xff0c10fa,0xff88e1e7
0xfff9ffff,0xffffffff,0xff0f0f0f,0xff00a7ff,0xff0c10fa,0xff88e1e7
0xfff9ffff,0xffffffff,0xff0f0f0f,0xff00a3ff,0xff0c10fa,0xff88e1e7
0xfff9ffff,0xffffffff,0xff0f0f0f,0xff009fff,0xff0c10fa,0xff88e1e7
0xfff9ffff,0xffffffff,0xff0f0f0f,0xff009bff,0xff0c10fa,0xff88e1e7
0xfff9ffff,0xffffffff,0xff0f0f0f,0xff0097ff,0xff0c10fa,0xff88e1e7
0xfff9ffff,0xffffffff,0xff0f0f0f,0xff0093ff,0xff0c10fa,0xff88e1e7
0xfff9ffff,0xffffffff,0xff0f0f0f,0xff008fff,0xff0c10fa,0xff88e1e7
0xfff9ffff,0xffffffff,0xff0f0f0f,0xff008bff,0xff0c10fa,0xff88e1e7
0xfff9ffff,0xffffffff,0xff0f0f0f,0xff0087ff,0xff0c10fa,0xff88e1e7
